Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
11/20/20,AQS,60730001,1,16.8,ug/m3 LC,61,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
11/23/20,AQS,60730001,1,16.3,ug/m3 LC,60,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
11/26/20,AQS,60730001,1,17.9,ug/m3 LC,63,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
11/29/20,AQS,60730001,1,8.6,ug/m3 LC,36,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
12/2/20,AQS,60730001,1,6.4,ug/m3 LC,27,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
12/5/20,AQS,60730001,1,11.9,ug/m3 LC,50,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
12/8/20,AQS,60730001,1,5.7,ug/m3 LC,24,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
12/11/20,AQS,60730001,1,12.3,ug/m3 LC,51,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
12/14/20,AQS,60730001,1,11.2,ug/m3 LC,47,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
12/17/20,AQS,60730001,1,8,ug/m3 LC,33,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
12/20/20,AQS,60730001,1,6.5,ug/m3 LC,27,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
12/23/20,AQS,60730001,1,15.5,ug/m3 LC,58,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
