Date,Source,Site ID,POC,Daily Max 1-hour SO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
4/18/20,AQS,60731022,1,0.1,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/19/20,AQS,60731022,1,0,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/20/20,AQS,60731022,1,0,ppb,0,El Cajon - Lexington Elementary School,20,83,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/23/20,AQS,60731022,1,0.3,ppb,0,El Cajon - Lexington Elementary School,20,83,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/24/20,AQS,60731022,1,0.2,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/25/20,AQS,60731022,1,0.4,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/26/20,AQS,60731022,1,0.2,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/29/20,AQS,60731022,1,0.1,ppb,0,El Cajon - Lexington Elementary School,19,79,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/30/20,AQS,60731022,1,0.1,ppb,0,El Cajon - Lexington Elementary School,20,83,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/1/20,AQS,60731022,1,0.1,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/2/20,AQS,60731022,1,0.3,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/3/20,AQS,60731022,1,0.5,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/4/20,AQS,60731022,1,0.4,ppb,0,El Cajon - Lexington Elementary School,19,79,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/5/20,AQS,60731022,1,1.7,ppb,1,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
5/6/20,AQS,60731022,1,0.7,ppb,0,El Cajon - Lexington Elementary School,20,83,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
