Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
6/7/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/8/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/9/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,17,71,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/10/20,AQS,60731022,1,0.4,ppm,5,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/11/20,AQS,60731022,1,0.4,ppm,5,El Cajon - Lexington Elementary School,17,71,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/12/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/13/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/14/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/15/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/16/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,16,67,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/17/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,24,100,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/18/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/19/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/20/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,17,71,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/21/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/22/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/23/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,17,71,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/24/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/25/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/26/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/27/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/28/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/29/20,AQS,60731022,1,0.1,ppm,1,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
6/30/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,9,38,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
